LETTER,LETTER SOUND AND PHONETIC PRONOUNCIATION,IGBO WORD WITH WORD USAGE,ENGLISH TRANSLATION OF IGBO WORD,SENTENCE IN ENGLISH,SENTENCE IN IGBO,IMPORTANT NOTES,vowels,consonants,diagraphs,triagraph,whistling diagraph,Primary vowel,dot on short vowel,grave on vowel ,acute on vowel,long vowel
á,animal,ágụ /ág' /égụ /ég' /ágwụ,tiger,Tigers are large animals.,"Ágú ákárá wụ ńnúkwú ánúmánụ.
Ág' ákárá bụ ńnúkwú án' mán.
Ágú ákárá bụ nnékwú ánúmánụ.","agụ owúrù is the ìgbò word for leopard. Often shortened to agụ. Agụ became used to
identify other non native big cats from the panthera family of which, tigers are the largest.
Tiger - agụ ákárá (striped leopard)",1,0,0,0,0,1,0,0,1,0
aa,car,asaa/ ịsaa/ esaa,seven,Seven women are waiting to enter this car.,"Umunwaanyị asaa n' eché ị ba ugboala' a.
Umụwaaya ịsaa n'eché ị ba ụgboan'n(wa).
Umụnwaanyị isaa n'eché ị ba ugboana'a","échè -thinking.
asaa - low pitch / ụmụnwaanyi - mid pitch.
Women : ụmụṅaaṅi/ ụmụnwaanyi/ ụmụwaaya.",1,0,0,0,0,1,0,0,0,1
b,bread,ḿbè/ ńnabẹ,tortoise,What is Tortoise doing with that bread?,"Ólee ihe Nnabe jì àchịchàbèkee eme?
Og'n bụ Mbè ji chichabèkee mekooli?
Ogini ka Mbè ji àchị chàbèkee eme?","ḿbe-nwa-aniga/ ḿbekwu-nwa-anịwaọga often shortened to ḿbe.
low (ee) sound (be-k-air)bekee.
mid (ee) sound (o-1-aireh)olee
high (ee) sound (kehh)kee",0,1,0,0,0,0,0,0,0,0
ch,chopsticks,àbàchà / òkòtò/ ògòdò / jigbọ /ḿbàcha,cassava strips,Can you use chopsticks to eat àbàchà?,"ị nwereike ị jì ósísínri riẹ àbàchà?
ị welrụike i jì óshíshínlri Irio àbàchà?
ị nwelụike ị jì ósísíńni liẹ àbàchà?",,0,0,1,0,0,0,0,0,0,0
d,drum,ộdụm,lion,The lion is hitting the drum.,"Ôd ụ m l'ẹtí ị gbà.
Ộ dụ m nẹti ịgbà.
Ộ dụ m n'ẹtí gbà.",ọ du m - my tail. n'echí - hitting (in some dialects). n'echí ntị - stubborn.,0,1,0,0,0,0,0,0,0,0
dtz,blitz,dtzí/ dí /ji,husband,My husband showed us a photo of the Blitz.,"Dtzi'm gosiri any foto Blitz.
Dzi'm goshil ayị foto Blitz.
Di'm gosili anyi foto Blitz.","(ány/ any/ àny!) are accent variations of any which means us.
Accent variations of words are common in Igbò.
They should not be confused with dialectal variations.
Jí is yam in most dialects.",0,0,0,1,0,0,0,0,0,0
è,eggs,ènwè,monkey,Monkey! What are you doing with Kite's eggs?,"Ènwè! Nịnị ka ị ji àkwá Egbé eme?
Ènwè! Gn' b'i jìàkwá Égbé eme?
Ènwè! Gini k'ị jì àkwá Égbé eme?","Monkey is énwé in some dialects.
égbè - gun / ègbe - creep
what : ginị/gn/gụnụ/gin/giri/nini",1,0,0,0,0,1,0,1,0,0
ee,"air ""stretched e sound""",s e e,draw,"Listen to the echo, whilst we draw.","Geé nchietauda, k'any seé ihe.
Geé nchietcuda, k'ayi seé ihe.
Geé nchietauda, k'anyi seé ife","ee
Low pitch sound - ""air""
High pitch sound - ""air?""",1,0,0,0,0,1,0,0,0,1
ẹ,aid ape ate ache,ẹwú/éghú/ényi,goat/elephant,"Elephant! Come to my aid, my back aches","Ényí! Bia zọụ tga'm, áz ụ l'ẹgbu'm.","ènyi -friend
enyi-n-ilo /enyi-m-enyi often shortened to ényí.",1,0,0,0,0,0,1,0,0,0
f,feather,éfí/éhi/épfi/ébvi/évi ,cow,Me! Fly? Cows don't have feathers.,"Mụ! Fee? Éhí anágh ị enwe abuba.
Mụh! Hee? Éfi angh ewe abuba.
Mụ! Fee? Éfi anára enwe abuba.","r/f/h and many more letters or diagraphs can be substituted to create
dialect variations of the igbò word for does not.
A na (r) (1) (h) (kw) a",0,1,0,0,0,0,0,0,0,0
